School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,,     117,     141,     132,     131,     135,     124,     114,     102,      62,      54,      24,      23,      12,0.0,"   1,171",      21,1.8,      21,1.8,     111,9.5,     533,  45.5, , , , ,24.6,4.3,21.4,45.3,0.2,0.1,4.1,48.7,51.3,78.0,73.1,76.0,96.1,15.0,,,,        16,75.0,12.5,0.0,0.0,12.5,0.0,12.0,,,,,,,,,,,24.0,      26,22.0,2.0,0.0,0.0,0.0,12.0,12.0,2.0,0.0,0.0,92.3,7.7,10.0,518.0,537.0
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,413,633","  $57,314",    146.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,,,,,,,,,,,     150,     151,     137,     150,0.0,     588,       4,0.7,       1,0.2,      67,11.4,      63,  10.7, , , , ,3.2,0.0,2.6,92.3,0.3,0.9,0.7,50.9,49.1,42.8,100.0,37.0,97.3,13.7,"      $8,413,633","  $57,314",    146.8,       159,93.1,1.9,0.0,1.3,3.8,0.0,148.0,117.0,79.1,0.0,20.961499999999997,27.685,30.4535,25.7075,16.9274,5.3788,51.41499999999999,52.0,      76,31.0,18.0,3.0,0.0,0.0,5.0,26.0,21.0,16.0,8.0,40.8,59.2,118.0,498.0,508.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,,,,,,,,,     200,     198,,,,,0.0,     398,       4,1.0,       3,0.8,      60,15.1,      39,   9.8, , , , ,1.3,0.5,2.5,95.2,0.0,0.0,0.5,54.8,45.2,23.4,90.2,21.0,89.3,17.0,"      $8,413,633","  $57,314",    146.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,413,633","  $57,314",    146.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,,,,,      93,     109,      93,      96,,,,,,,0.0,     391,       0,0.0,       0,0.0,      51,13.0,      38,   9.7, , , , ,1.3,1.0,2.0,94.6,0.0,0.0,1.0,47.8,52.2,22.2,100.0,21.0,100.0,17.6,"      $8,413,633","  $57,314",    146.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,,,,,,,,      81,      76,      66,      53,      41,      41,      30,0.0,     388,       5,1.3,       5,1.3,      49,12.6,     197,  50.8, , , , ,54.1,3.4,14.4,25.0,0.0,0.0,3.1,50.8,49.2,31.4,19.8,30.0,91.0,12.4,,,,        31,90.3,9.7,0.0,0.0,0.0,0.0,29.0,27.0,93.1,0.0,72.4318,10.3341,10.3341,10.3341,3.4446999999999997,6.889399999999999,82.76589999999999,4.0,,,,,,,,,,,,,,30.0,450.0,486.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,     469,     500,     474,     441,2.0,"   1,886",     336,17.8,       8,0.4,     199,10.6,      39,   2.1, , , , ,1.4,17.2,2.7,77.9,0.0,0.0,0.8,50.2,49.8,110.1,100.0,105.0,100.0,17.1,"     $10,624,970","  $63,282",    167.9,       451,95.1,3.3,0.7,0.2,0.7,0.0,427.0,379.0,88.8,0.0,51.32639999999999,5.860799999999999,31.612800000000004,5.150399999999999,2.3087999999999997,11.988,82.9392,416.0,     861,165.0,125.0,72.0,41.0,13.0,2.0,27.0,89.0,244.0,499.0,3.4,96.6,420.0,607.0,642.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,624,970","  $63,282",    167.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,624,970","  $63,282",    167.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
