School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,,     144,     133,     131,     131,     144,     143,     143,     144,     131,      92,      47,      21,      22,0.0,"   1,426",      54,   3.8,      54,   3.8,      94,   6.6, , , , ,  25.7,   4.6,  24.5,  41.2,   0.1,   0.1,   3.8,  49.2,  50.8,89.0,74.2,     257,100.0,  16.0 to 1,,,,,,,,,,        20,100.0,0.0,0.0,0.0,0.0,0.0,     182,0.0,0.0,,,,,,,,,,,11.0,      12,10.0,1.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,91.7,8.3,17.0,471.0,471.0
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,851,492","  $59,807",    148.0,"          $21,073,940.47","           2,368.5","               $8,897.59","          $24,152,005.16","           2,437.2","               $9,909.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,,,,,,,,,,,     148,     143,     153,     145,1.0,     590,       1,   0.2,       0,   0.0,      67,  11.4, , , , ,   3.4,   0.0,   2.4,  92.7,   0.2,   0.8,   0.5,  51.2,  48.8,44.3,97.7,     197,92.4,  13.3 to 1,"      $8,851,492","  $59,807",    148.0,"          $21,073,940.47","           2,368.5","               $8,897.59","          $24,152,005.16","           2,437.2","               $9,909.73",       146,89.0,4.1,0.0,1.4,5.5,0.0,     589,12.0,2.0,,,,,,,,,,,60.0,      83,40.0,17.0,3.0,0.0,0.0,5.0,26.0,27.0,16.0,9.0,37.3,62.7,103.0,495.0,512.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,,,,,,,,,     205,     202,,,,,0.0,     407,       5,   1.2,       0,   0.0,      61,  15.0, , , , ,   1.5,   1.2,   2.2,  93.9,   0.5,   0.0,   0.7,  54.1,  45.9,28.2,96.5,     173,85.0,  14.4 to 1,"      $8,851,492","  $59,807",    148.0,"          $21,073,940.47","           2,368.5","               $8,897.59","          $24,152,005.16","           2,437.2","               $9,909.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,851,492","  $59,807",    148.0,"          $21,073,940.47","           2,368.5","               $8,897.59","          $24,152,005.16","           2,437.2","               $9,909.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,,,,,      93,      91,     111,      93,,,,,,,0.0,     388,       2,   0.5,       0,   0.0,      62,  16.0, , , , ,   1.3,   1.0,   2.3,  94.1,   0.0,   0.0,   1.3,  49.2,  50.8,21.0,95.2,     105,95.2,  18.5 to 1,"      $8,851,492","  $59,807",    148.0,"          $21,073,940.47","           2,368.5","               $8,897.59","          $24,152,005.16","           2,437.2","               $9,909.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,,,,,,,      82,      84,      75,      65,      55,      41,      35,      35,0.0,     472,      58,  12.3,       6,   1.3,      62,  13.1, , , , ,  57.4,   2.5,  15.5,  23.3,   0.0,   0.0,   1.3,  50.0,  50.0,38.2,31.4,      50,98.0,  12.4 to 1,,,,,,,,,,        31,100.0,0.0,0.0,0.0,0.0,0.0,     166,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,33.0,449.0,472.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,     516,     468,     498,     476,3.0,"   1,961",     359,  18.3,      13,   0.7,     221,  11.3, , , , ,   1.0,  17.6,   2.7,  77.6,   0.0,   0.0,   1.2,  51.2,  48.8,114.2,100.0,     509,100.0,  17.2 to 1,"     $11,612,363","  $67,514",    172.0,"          $32,260,157.20","           2,921.0","              $11,044.22","          $36,961,581.20","           3,022.7","              $12,228.00",       464,98.1,0.2,0.2,0.4,1.1,0.0,"   1,958",7.0,0.4,,,,,,,,,,,429.0,     869,184.0,121.0,70.0,40.0,14.0,9.0,24.0,97.0,261.0,478.0,3.8,96.2,459.0,603.0,629.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $11,612,363","  $67,514",    172.0,"          $32,260,157.20","           2,921.0","              $11,044.22","          $36,961,581.20","           3,022.7","              $12,228.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $11,612,363","  $67,514",    172.0,"          $32,260,157.20","           2,921.0","              $11,044.22","          $36,961,581.20","           3,022.7","              $12,228.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
