School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     111,     135,     133,     141,     135,     140,     134,     130,     134,     101,      71,      40,      20,0.0,"   1,425",      54,   3.8,      51,   3.6,     105,   7.4, , , , ,  28.0,   4.7,  25.3,  37.9,   0.1,   0.1,   3.9,  49.9,  50.1,100.4,71.7,     422,100.0,  14.2 to 1,,,,,,,,,,        21,95.2,0.0,0.0,0.0,4.8,0.0,     232,2.0,0.9,,,,,,,,,,,20.0,20.0,100.0,25.0,      36,14.0,11.0,0.0,0.0,0.0,20.0,7.0,5.0,4.0,0.0,75.0,25.0,20.0,496.0,462.0
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,963,820","  $61,939",    144.7,"          $22,232,934.96","           2,306.2","               $9,640.59","          $25,719,722.06","           2,385.6","              $10,781.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     129,     148,     150,     157,0.0,     584,       6,   1.0,       1,   0.2,      80,  13.7, , , , ,   2.4,   0.7,   2.9,  90.6,   0.9,   0.2,   2.4,  51.9,  48.1,42.9,93.0,     181,91.2,  13.6 to 1,"      $8,963,820","  $61,939",    144.7,"          $22,232,934.96","           2,306.2","               $9,640.59","          $25,719,722.06","           2,385.6","              $10,781.33",       149,92.6,1.3,0.0,1.3,4.7,0.0,     584,12.0,2.1,,,,,,,,,,,140.0,140.0,100.0,64.0,      99,35.0,25.0,2.0,2.0,0.0,3.0,23.0,32.0,30.0,11.0,26.3,73.7,102.0,509.0,523.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     185,     205,       0,       0,       0,       0,0.0,     390,       3,   0.8,       0,   0.0,      69,  17.7, , , , ,   1.8,   1.5,   2.6,  93.3,   0.0,   0.0,   0.8,  51.3,  48.7,28.3,90.8,     165,84.8,  13.8 to 1,"      $8,963,820","  $61,939",    144.7,"          $22,232,934.96","           2,306.2","               $9,640.59","          $25,719,722.06","           2,385.6","              $10,781.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,963,820","  $61,939",    144.7,"          $22,232,934.96","           2,306.2","               $9,640.59","          $25,719,722.06","           2,385.6","              $10,781.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,     103,      93,      92,     112,       0,       0,       0,       0,       0,       0,0.0,     400,       4,   1.0,       2,   0.5,      57,  14.3, , , , ,   1.5,   0.3,   3.8,  93.0,   0.3,   0.0,   1.3,  47.3,  52.8,21.0,100.0,     105,100.0,  19.0 to 1,"      $8,963,820","  $61,939",    144.7,"          $22,232,934.96","           2,306.2","               $9,640.59","          $25,719,722.06","           2,385.6","              $10,781.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      83,      82,      74,      54,      62,      49,      36,      34,0.0,     474,      66,  13.9,       4,   0.8,      66,  13.9, , , , ,  58.4,   2.1,  15.6,  21.1,   0.0,   0.0,   2.7,  50.2,  49.8,40.5,32.6,      83,100.0,  11.7 to 1,,,,,,,,,,        32,96.9,3.1,0.0,0.0,0.0,0.0,     181,0.0,0.0,,,,,,,,,,,32.0,32.0,100.0,11.0,      11,11.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,72.7,27.3,24.0,453.0,479.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     478,     520,     464,     495,1.0,"   1,958",     354,  18.1,      10,   0.5,     242,  12.4, , , , ,   0.9,  20.0,   2.9,  75.0,   0.0,   0.0,   1.3,  51.8,  48.2,116.2,100.0,     516,100.0,  16.9 to 1,"     $12,648,104","  $71,633",    176.6,"          $34,029,465.00","           2,950.3","              $11,534.24","          $38,691,546.00","           3,038.7","              $12,732.93",       497,97.6,0.8,0.2,0.2,1.2,0.0,"   1,957",6.0,0.3,,,,,,,,,,,486.0,485.0,99.8,428.0,     858,185.0,116.0,82.0,30.0,15.0,4.0,25.0,69.0,266.0,494.0,3.4,96.6,431.0,611.0,643.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $12,648,104","  $71,633",    176.6,"          $34,029,465.00","           2,950.3","              $11,534.24","          $38,691,546.00","           3,038.7","              $12,732.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $12,648,104","  $71,633",    176.6,"          $34,029,465.00","           2,950.3","              $11,534.24","          $38,691,546.00","           3,038.7","              $12,732.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $12,648,104","  $71,633",    176.6,"          $34,029,465.00","           2,950.3","              $11,534.24","          $38,691,546.00","           3,038.7","              $12,732.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $12,648,104","  $71,633",    176.6,"          $34,029,465.00","           2,950.3","              $11,534.24","          $38,691,546.00","           3,038.7","              $12,732.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $12,648,104","  $71,633",    176.6,"          $34,029,465.00","           2,950.3","              $11,534.24","          $38,691,546.00","           3,038.7","              $12,732.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $12,648,104","  $71,633",    176.6,"          $34,029,465.00","           2,950.3","              $11,534.24","          $38,691,546.00","           3,038.7","              $12,732.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $12,648,104","  $71,633",    176.6,"          $34,029,465.00","           2,950.3","              $11,534.24","          $38,691,546.00","           3,038.7","              $12,732.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
