School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     113,     128,     106,     129,     110,     125,     118,     121,     118,     106,     110,      80,      62,0.0,"   1,426",      24,   1.7,      24,   1.7,     158,  11.1,     846,  59.3, , , , ,  30.6,   5.0,  26.3,  34.0,   0.1,   0.1,   4.0,  48.5,  51.5,     464,18.4,"      1,418",111.7,88.2,     609,99.2,12.8,,,,,,,,,,        63,95.2,1.6,0.0,0.0,1.6,1.6,     358,3.0,0.8,61.0,54.0,88.5,0.0,34.426500000000004,14.7795,39.294000000000004,14.7795,21.3285,14.7795,73.72050000000002,61.0,61.0,100.0,1.0,,,,,,,,,,,,,,63.0,498.0,459.0
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,090,656","  $73,887",    109.5,"          $21,233,375.95","           2,038.7","              $10,415.15","          $24,188,676.74","           2,119.0","              $11,415.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     100,     141,     124,     145,0.0,     510,      11,   2.2,       0,   0.0,      82,  16.1,      44,   8.6, , , , ,   2.7,   2.0,   2.7,  91.8,   0.0,   0.0,   0.8,  51.2,  48.8,     194,17.2,        517,36.1,99.4,     200,100.0,14.1,"      $8,090,656","  $73,887",    109.5,"          $21,233,375.95","           2,038.7","              $10,415.15","          $24,188,676.74","           2,119.0","              $11,415.14",       141,89.4,1.4,0.0,1.4,7.8,0.0,     510,11.0,2.2,127.0,107.0,84.3,0.0,26.807399999999998,22.8453,34.6473,22.086599999999997,20.484899999999996,11.043299999999999,61.4547,127.0,127.0,100.0,65.0,      93,40.0,22.0,3.0,0.0,0.0,16.0,25.0,30.0,14.0,8.0,44.1,55.9,105.0,506.0,516.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     164,     205,       0,       0,       0,       0,0.0,     369,       3,   0.8,       0,   0.0,      65,  17.6,      55,  14.9, , , , ,   1.9,   1.6,   3.3,  91.9,   0.0,   0.0,   1.4,  46.6,  53.4,     100,24.6,        369,16.8,100.0,     140,92.9,21.9,"      $8,090,656","  $73,887",    109.5,"          $21,233,375.95","           2,038.7","              $10,415.15","          $24,188,676.74","           2,119.0","              $11,415.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,090,656","  $73,887",    109.5,"          $21,233,375.95","           2,038.7","              $10,415.15","          $24,188,676.74","           2,119.0","              $11,415.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,       0,     152,     189,     165,       0,       0,       0,       0,       0,       0,0.0,     506,      16,   3.2,       6,   1.2,      77,  15.2,     105,  20.8, , , , ,   1.6,   1.0,   4.3,  92.9,   0.0,   0.2,   0.0,  51.6,  48.4,     176,32.4,        507,23.8,100.0,     113,100.0,21.3,"      $8,090,656","  $73,887",    109.5,"          $21,233,375.95","           2,038.7","              $10,415.15","          $24,188,676.74","           2,119.0","              $11,415.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      75,      84,      83,      73,      50,      39,      47,      33,0.0,     484,      54,  11.2,       2,   0.4,      77,  15.9,     254,  52.5, , , , ,  56.0,   3.1,  17.6,  20.9,   0.0,   0.0,   2.5,  48.3,  51.7,     129,23.0,        481,34.8,66.1,     123,100.0,13.9,,,,,,,,,,        36,86.1,8.3,0.0,5.6,0.0,0.0,     169,3.0,1.8,32.0,27.0,84.4,0.0,53.172000000000004,18.736800000000002,12.491200000000001,18.736800000000002,3.1228000000000002,9.368400000000001,65.6632,32.0,32.0,100.0,53.0,      67,39.0,14.0,0.0,0.0,0.0,43.0,10.0,11.0,1.0,2.0,79.1,20.9,30.0,484.0,492.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     513,     496,     474,     507,0.0,"   1,990",     362,  18.2,       8,   0.4,     250,  12.6,      44,   2.2, , , , ,   0.6,  22.4,   3.3,  71.8,   0.1,   0.0,   1.9,  51.6,  48.4,     645,20.1,"      1,997",118.7,100.0,     524,100.0,16.8,"     $13,149,927","  $72,411",    181.6,"          $35,426,148.00","           2,940.2","              $12,048.89","          $39,865,768.00","           3,024.3","              $13,181.82",       516,96.5,1.7,0.0,0.2,1.6,0.0,"   1,990",12.0,0.6,504.0,429.0,85.1,0.0,44.5924,6.3825,34.125099999999996,4.9357999999999995,2.3827999999999996,12.0842,78.7175,504.0,401.0,79.6,448.0,     924,184.0,135.0,73.0,38.0,18.0,6.0,25.0,86.0,295.0,512.0,3.4,96.6,488.0,602.0,636.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,149,927","  $72,411",    181.6,"          $35,426,148.00","           2,940.2","              $12,048.89","          $39,865,768.00","           3,024.3","              $13,181.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,149,927","  $72,411",    181.6,"          $35,426,148.00","           2,940.2","              $12,048.89","          $39,865,768.00","           3,024.3","              $13,181.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
