School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     111,     113,     122,     111,     127,     113,     126,     115,     116,      95,      97,     105,      75,0.0,"   1,426",      33,   2.3,      33,   2.3,     160,  11.2, , , , ,  33.2,   4.8,  25.5,  32.5,   0.1,   0.1,   3.9,  48.7,  51.3,     676,20.0,"      1,426",111.9,87.9,     582,98.5,  12.7 to 1,,,,,,,,,,        77,93.5,5.2,0.0,0.0,0.0,1.3,     372,1.0,0.3,,,,,,,,,,,73.0,73.0,100.0,,,,,,,,,,,,,,,70.0,434.0,429.0,
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,554,968","  $69,159",    123.7,"          $21,852,362.22","           2,031.7","              $10,755.70","          $25,162,057.35","           2,122.5","              $11,854.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     136,     106,     144,     126,1.0,     513,      10,   1.9,       0,   0.0,      85,  16.6, , , , ,   1.8,   1.9,   3.9,  91.6,   0.0,   0.0,   0.8,  50.5,  49.5,     190,17.4,        513,38.9,100.0,     197,100.0,  13.2 to 1,"      $8,554,968","  $69,159",    123.7,"          $21,852,362.22","           2,031.7","              $10,755.70","          $25,162,057.35","           2,122.5","              $11,854.92",       127,86.6,2.4,0.8,3.1,7.1,0.0,     512,19.0,3.7,,,,,,,,,,,110.0,52.0,47.3,76.0,     105,47.0,29.0,0.0,0.0,0.0,12.0,36.0,40.0,11.0,6.0,45.7,54.3,84.0,490.0,508.0,36.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     168,     163,       0,       0,       0,       0,0.0,     331,       5,   1.5,       0,   0.0,      50,  15.1, , , , ,   2.4,   1.2,   3.9,  91.5,   0.0,   0.0,   0.9,  50.8,  49.2,     124,21.1,        331,21.2,100.0,     117,100.0,  15.6 to 1,"      $8,554,968","  $69,159",    123.7,"          $21,852,362.22","           2,031.7","              $10,755.70","          $25,162,057.35","           2,122.5","              $11,854.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,554,968","  $69,159",    123.7,"          $21,852,362.22","           2,031.7","              $10,755.70","          $25,162,057.35","           2,122.5","              $11,854.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,     153,     181,       0,       0,       0,       0,       0,       0,0.0,     334,       7,   2.1,       5,   1.5,      46,  13.8, , , , ,   1.8,   0.9,   3.9,  93.1,   0.0,   0.3,   0.0,  48.8,  51.2,     119,30.4,        334,19.4,100.0,      88,100.0,  17.2 to 1,"      $8,554,968","  $69,159",    123.7,"          $21,852,362.22","           2,031.7","              $10,755.70","          $25,162,057.35","           2,122.5","              $11,854.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      75,      74,      82,      82,      64,      44,      35,      44,0.0,     500,      48,   9.6,       3,   0.6,      94,  18.8, , , , ,  56.8,   2.6,  17.4,  19.8,   0.0,   0.0,   3.4,  49.6,  50.4,     132,23.9,        500,36.8,68.8,     124,92.7,  13.6 to 1,,,,,,,,,,        42,97.6,0.0,0.0,0.0,2.4,0.0,     187,3.0,1.6,,,,,,,,,,,44.0,44.0,100.0,50.0,      55,45.0,5.0,0.0,0.0,0.0,36.0,11.0,3.0,3.0,2.0,85.5,14.5,41.0,491.0,514.0,70.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     471,     528,     494,     462,0.0,"   1,955",     352,  18.0,      11,   0.6,     253,  12.9, , , , ,   0.8,  23.1,   3.5,  70.9,   0.2,   0.0,   1.6,  50.4,  49.6,     612,20.6,"      1,965",117.8,100.0,     519,100.0,  16.6 to 1,"     $13,950,668","  $76,779",    181.7,"          $36,214,463.00","           2,905.2","              $12,465.39","          $41,091,892.00","           3,000.1","              $13,696.84",       466,96.1,2.6,0.0,0.0,1.3,0.0,"   1,955",1.0,0.1,,,,,,,,,,,452.0,305.0,67.5,442.0,     934,180.0,116.0,87.0,43.0,16.0,9.0,20.0,71.0,229.0,605.0,3.1,96.9,446.0,611.0,650.0,96.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,950,668","  $76,779",    181.7,"          $36,214,463.00","           2,905.2","              $12,465.39","          $41,091,892.00","           3,000.1","              $13,696.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,950,668","  $76,779",    181.7,"          $36,214,463.00","           2,905.2","              $12,465.39","          $41,091,892.00","           3,000.1","              $13,696.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
