School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     119,     122,     123,     121,     122,     125,     123,     112,     116,      90,      83,      82,      88,       0,"   1,426",     287,  20.1,      77,   5.4,     153,  10.7,     980,  68.7, , ,  39.9,   4.6,  25.7,  26.3,   0.1,   0.1,   3.2,  47.7,  52.3,     779,19.1,"      1,430",111.8,94.6,     620,100.0,  12.8 to 1,,,,134.0,     132,  98.5,   8.3,  86.4,   5.3,   0.0,,,,,,,87.0,97.7,1.1,0.0,0.0,0.0,1.1,     343,1.0,0.3,,,,,,,,,,,86.0,86.0,100.0,,,,,,,,,,,,,,,82.0,483.0,476.0,
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $9,175,999","  $71,464",    128.4,,,,,,,,"          $22,779,478.72","           1,943.1","              $11,723.27","          $26,449,957.74","           2,036.7","              $12,986.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      97,     120,     136,     107,       0,     460,      12,   2.6,       5,   1.1,      53,  11.5,     123,  26.7, , ,   2.8,   1.5,   4.6,  90.0,   0.2,   0.0,   0.9,  51.1,  48.9,     255,15.9,        470,39.7,97.5,     203,93.6,  11.6 to 1,"      $9,175,999","  $71,464",    128.4,53.0,      49,  92.5,  16.3,  71.4,   8.2,   4.1,"          $22,779,478.72","           1,943.1","              $11,723.27","          $26,449,957.74","           2,036.7","              $12,986.67",111.0,83.8,5.4,0.0,2.7,8.1,0.0,     460,11.0,2.4,,,,,,,,,,,95.0,33.0,34.7,56.0,     103,24.0,18.0,13.0,1.0,0.0,11.0,37.0,42.0,11.0,2.0,46.6,53.4,66.0,488.0,496.0,23.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     148,     181,       0,       0,       0,       0,       0,     329,       9,   2.7,       8,   2.4,      44,  13.4,     123,  37.4, , ,   1.8,   1.2,   4.6,  91.8,   0.3,   0.3,   0.0,  49.8,  50.2,     180,20.6,        332,23.2,99.1,     118,100.0,  14.2 to 1,"      $9,175,999","  $71,464",    128.4,32.0,      32, 100.0,  12.5,  87.5,   0.0,   0.0,"          $22,779,478.72","           1,943.1","              $11,723.27","          $26,449,957.74","           2,036.7","              $12,986.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $9,175,999","  $71,464",    128.4,,,,,,,,"          $22,779,478.72","           1,943.1","              $11,723.27","          $26,449,957.74","           2,036.7","              $12,986.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,     179,     161,       0,       0,       0,       0,       0,       0,       0,     340,      15,   4.4,      14,   4.1,      37,  10.9,     107,  31.5, , ,   2.4,   0.9,   3.8,  92.4,   0.3,   0.0,   0.3,  52.4,  47.6,     121,31.1,        341,16.1,100.0,      88,100.0,  21.2 to 1,"      $9,175,999","  $71,464",    128.4,21.0,      20,  95.2,   0.0,  90.0,  10.0,   0.0,"          $22,779,478.72","           1,943.1","              $11,723.27","          $26,449,957.74","           2,036.7","              $12,986.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      72,      72,      76,      69,      70,      60,      48,      31,       0,     498,      37,   7.4,       0,   0.0,     102,  20.5,     328,  65.9, , ,  58.4,   1.4,  20.5,  16.3,   0.0,   0.0,   3.4,  47.0,  53.0,     136,22.1,        505,38.7,55.9,     124,100.0,  12.9 to 1,,,,49.0,      49, 100.0,  12.2,  75.5,   6.1,   6.1,,,,,,,34.0,85.3,11.8,0.0,0.0,2.9,0.0,     209,5.0,2.4,,,,,,,,,,,31.0,31.0,100.0,41.0,      58,24.0,17.0,0.0,0.0,0.0,16.0,27.0,10.0,3.0,2.0,74.1,25.9,30.0,472.0,521.0,56.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     475,     486,     482,     517,       0,"   1,960",     334,  17.0,      14,   0.7,     281,  14.3,     356,  18.2, , ,   1.2,  24.2,   3.5,  68.6,   0.2,   0.0,   2.3,  49.4,  50.6,     732,19.6,"      1,963",121.6,100.0,     541,100.0,  16.1 to 1,"     $14,566,560","  $78,012",    186.7,157.0,      88,  56.1,  12.5,  86.4,   1.1,   0.0,"          $39,206,997.00","           2,882.3","              $13,602.68","          $44,631,077.00","           2,987.9","              $14,937.27",514.0,98.1,1.4,0.0,0.0,0.6,0.0,"   1,960",1.0,0.1,,,,,,,,,,,509.0,361.0,70.9,475.0,"   1,007",186.0,133.0,94.0,43.0,19.0,3.0,25.0,88.0,284.0,607.0,2.8,97.2,479.0,614.0,639.0,96.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,566,560","  $78,012",    186.7,,,,,,,,"          $39,206,997.00","           2,882.3","              $13,602.68","          $44,631,077.00","           2,987.9","              $14,937.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,566,560","  $78,012",    186.7,,,,,,,,"          $39,206,997.00","           2,882.3","              $13,602.68","          $44,631,077.00","           2,987.9","              $14,937.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,566,560","  $78,012",    186.7,,,,,,,,"          $39,206,997.00","           2,882.3","              $13,602.68","          $44,631,077.00","           2,987.9","              $14,937.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,566,560","  $78,012",    186.7,,,,,,,,"          $39,206,997.00","           2,882.3","              $13,602.68","          $44,631,077.00","           2,987.9","              $14,937.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,566,560","  $78,012",    186.7,,,,,,,,"          $39,206,997.00","           2,882.3","              $13,602.68","          $44,631,077.00","           2,987.9","              $14,937.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,566,560","  $78,012",    186.7,,,,,,,,"          $39,206,997.00","           2,882.3","              $13,602.68","          $44,631,077.00","           2,987.9","              $14,937.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,566,560","  $78,012",    186.7,,,,,,,,"          $39,206,997.00","           2,882.3","              $13,602.68","          $44,631,077.00","           2,987.9","              $14,937.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     467,     463,       0,       0,       0,       0,       0,     930,     110,  11.8,       9,   1.0,     146,  15.7,     189,  20.3, , ,   1.2,  27.5,   2.6,  63.8,   0.2,   0.0,   4.7,  52.3,  47.7,     548,23.0,        939,61.7,98.4,     278,100.0,  15.1 to 1,"     $14,566,560","  $78,012",    186.7,76.0,      40,  52.6,   5.0,  92.5,   2.5,   0.0,"          $39,206,997.00","           2,882.3","              $13,602.68","          $44,631,077.00","           2,987.9","              $14,937.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      51,     100,      86,     108,     113,      78,       0,       0,       0,       0,       0,       0,       0,       0,       0,     536,       6,   1.1,       3,   0.6,      91,  17.0,     196,  36.6, , ,   0.2,   0.0,   2.1,  97.6,   0.0,   0.0,   0.2,  55.2,  44.8,     229,20.5,        539,35.0,100.0,     182,97.3,  15.3 to 1,"      $4,370,797","  $64,276",     68.0,44.0,      41,  93.2,   0.0,  92.7,   7.3,   0.0,"          $10,519,233.82",             980.1,"              $10,732.82","          $14,898,617.95","           1,285.6","              $11,588.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,     117,     114,     115,     110,       0,       0,       0,       0,       0,     456,       9,   2.0,       3,   0.7,      69,  15.1,     146,  32.0, , ,   1.1,   0.7,   0.2,  97.8,   0.0,   0.0,   0.2,  48.9,  51.1,     302,16.9,        454,33.0,100.0,     152,100.0,  13.8 to 1,"      $4,370,797","  $64,276",     68.0,38.0,      38, 100.0,   5.3,  78.9,  13.2,   2.6,"          $10,519,233.82",             980.1,"              $10,732.82","          $14,898,617.95","           1,285.6","              $11,588.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     152,     149,     129,     142,     195,     129,     101,       0,     997,     174,  17.5,       0,   0.0,      36,   3.6,      99,   9.9, , ,   3.0,  24.4,   4.5,  64.2,   0.6,   0.1,   3.2,  53.1,  46.9,     462,19.7,        990,87.0,83.2,     365,100.0,  11.5 to 1,,,,,,,,,,,,,,,,,101.0,99.0,1.0,0.0,0.0,0.0,0.0,     567,0.0,0.0,,,,,,,,,,,101.0,101.0,100.0,283.0,     488,158.0,70.0,39.0,9.0,7.0,13.0,35.0,85.0,133.0,222.0,9.8,90.2,97.0,606.0,638.0,98.0
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     144,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     144,       2,   1.4,       0,   0.0,      72,  50.0,      95,  66.0, , ,   2.1,   0.0,   5.6,  92.4,   0.0,   0.0,   0.0,  61.1,  38.9,      16,11.7,        186,10.0,100.0,      32,100.0,  14.4 to 1,"     $20,346,413","  $63,384",    321.0,10.0,       9,  90.0,-,-,-,-,"          $51,605,213.40","           4,046.9","              $12,751.79","          $56,982,676.00","           4,175.5","              $13,646.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     356,     343,     300,     291,       0,"   1,290",      38,   2.9,       7,   0.5,     168,  13.0,     461,  35.7, , ,   1.3,   2.1,   4.0,  91.2,   0.3,   0.2,   0.9,  52.2,  47.8,     590,17.5,"      1,278",97.2,100.0,     423,100.0,  13.3 to 1,"     $20,346,413","  $63,384",    321.0,114.0,     112,  98.2,   2.7,  95.5,   1.8,   0.0,"          $51,605,213.40","           4,046.9","              $12,751.79","          $56,982,676.00","           4,175.5","              $13,646.91",309.0,90.6,1.6,1.0,1.0,5.8,0.0,"   1,290",17.0,1.3,,,,,,,,,,,290.0,212.0,73.1,237.0,     471,99.0,75.0,37.0,20.0,6.0,72.0,142.0,132.0,95.0,30.0,45.4,54.6,222.0,488.0,510.0,37.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     324,     305,       0,       0,       0,       0,       0,     629,      23,   3.7,       8,   1.3,      86,  13.7,     270,  42.9, , ,   1.4,   2.1,   5.2,  89.3,   0.0,   0.2,   1.7,  52.3,  47.7,     824,12.7,        631,61.4,100.0,     384,100.0,  10.2 to 1,"     $20,346,413","  $63,384",    321.0,73.0,      72,  98.6,  16.7,  83.3,   0.0,   0.0,"          $51,605,213.40","           4,046.9","              $12,751.79","          $56,982,676.00","           4,175.5","              $13,646.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
