School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     117,     125,     122,     123,     121,     128,     123,     117,     109,      96,      87,      81,      79,       0,"   1,428",     345,24.2,     101,7.1,     147,10.3, , ,     658,46.1,     436,30.5,42.6,4.2,24.5,25.0,0.1,0.1,3.4,47.4,52.6,     755,19.1,"      1,445",117.0,95.3,     604,99.2,12.2,,,,137.0,     135,  98.5,   8.9,  87.4,   3.0,   0.7,,,,,,,81.0,92.6,2.5,0.0,1.2,3.7,0.0,     343,4.0,1.2,76.0,63.0,82.9,0.0,22.4,25.0,35.5,25.0,17.1,11.8,57.9,76.0,76.0,100.0,,,,,,,,,,,,,,,76.0,487.0,481.0,
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $9,489,496","  $74,662",    127.1,,,,,,,,"          $23,365,711.00","           1,939.0","              $12,050.39","          $27,229,101.00","           2,051.8","              $13,270.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     131,      96,     117,     128,       5,     477,      18,3.8,       7,1.5,      56,11.7, , ,     126,26.4,      80,16.8,2.3,0.8,7.3,88.5,0.0,0.0,1.0,47.2,52.8,     246,16.2,        477,38.8,100.0,     203,100.0,12.3,"      $9,489,496","  $74,662",    127.1,51.0,      50,  98.0,  30.0,  64.0,   6.0,   0.0,"          $23,365,711.00","           1,939.0","              $12,050.39","          $27,229,101.00","           2,051.8","              $13,270.84",132.0,92.4,1.5,0.0,0.8,5.3,0.0,     472,9.0,1.9,124.0,90.0,72.6,0.8,20.2,17.7,33.9,17.7,15.3,5.6,54.099999999999994,124.0,71.0,57.3,63.0,      99,34.0,25.0,3.0,0.0,1.0,4.0,30.0,35.0,21.0,9.0,34.3,65.7,93.0,489.0,498.0,32.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     156,     149,       0,       0,       0,       0,       0,     305,      10,3.3,       3,1.0,      34,11.1, , ,      87,28.5,      49,16.1,2.6,2.0,3.6,90.8,0.0,0.3,0.7,49.5,50.5,     193,20.2,        308,23.1,94.2,     120,100.0,13.2,"      $9,489,496","  $74,662",    127.1,29.0,      28,  96.6,   7.1,  89.3,   3.6,   0.0,"          $23,365,711.00","           1,939.0","              $12,050.39","          $27,229,101.00","           2,051.8","              $13,270.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $9,489,496","  $74,662",    127.1,,,,,,,,"          $23,365,711.00","           1,939.0","              $12,050.39","          $27,229,101.00","           2,051.8","              $13,270.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,     156,     174,       0,       0,       0,       0,       0,       0,       0,     330,      14,4.2,       3,0.9,      41,12.4, , ,      96,29.1,      58,17.6,2.4,1.5,3.6,92.1,0.3,0.0,0.0,53.9,46.1,     121,30.1,        332,16.1,100.0,      82,100.0,20.5,"      $9,489,496","  $74,662",    127.1,19.0,      19, 100.0,  15.8,  73.7,  10.5,   0.0,"          $23,365,711.00","           1,939.0","              $12,050.39","          $27,229,101.00","           2,051.8","              $13,270.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      77,      74,      77,      78,      52,      56,      58,      47,       0,     519,      31,6.0,       1,0.2,     121,23.3, , ,     246,47.4,     152,29.3,59.0,1.0,21.0,15.8,0.0,0.0,3.3,45.5,54.5,     122,23.2,        516,42.5,66.8,     108,98.1,12.2,,,,53.0,      52,  98.1,  28.8,  53.8,  17.3,   0.0,,,,,,,42.0,92.9,7.1,0.0,0.0,0.0,0.0,     213,0.0,0.0,42.0,39.0,92.9,0.0,57.1,11.9,23.8,11.9,19.0,4.8,80.9,42.0,42.0,100.0,58.0,      73,43.0,15.0,0.0,0.0,0.0,42.0,21.0,8.0,1.0,1.0,86.3,13.7,38.0,493.0,477.0,51.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     457,     479,     486,     481,       0,"   1,903",     307,16.1,      18,0.9,     270,14.2, , ,     340,17.9,      63,3.3,1.1,24.1,3.3,68.4,0.3,0.0,2.8,50.3,49.7,     717,19.6,"      1,902",124.1,100.0,     532,100.0,15.3,"     $29,231,455","  $80,750",    362.0,160.0,     155,  96.9,  11.0,  86.5,   2.6,   0.0,"          $72,610,771.00","           5,643.6","              $12,866.04","          $81,149,570.00","           5,789.7","              $14,016.20",477.0,97.7,2.1,0.0,0.0,0.2,0.0,"   1,903",7.0,0.4,472.0,408.0,86.4,0.0,45.6,4.4,36.4,4.0,3.2,10.8,82.0,472.0,228.0,48.3,494.0,"   1,039",205.0,125.0,94.0,54.0,16.0,14.0,25.0,124.0,331.0,545.0,3.8,96.2,441.0,608.0,636.0,98.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,      21,      41,      40,      52,      67,      59,      59,      75,       0,       0,       0,       0,       0,       0,       0,     414,      28,6.8,       7,1.7,      64,15.5, , ,      98,23.7,      30,7.2,1.9,33.6,3.6,56.8,0.5,0.0,3.6,56.8,43.2,     143,20.5,        431,30.5,100.0,     130,100.0,13.6,"     $29,231,455","  $80,750",    362.0,39.0,      39, 100.0,-,-,-,-,"          $72,610,771.00","           5,643.6","              $12,866.04","          $81,149,570.00","           5,789.7","              $14,016.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      61,      64,      69,      68,      72,      74,      72,       0,       0,       0,       0,       0,       0,       0,     480,     105,21.9,      40,8.3,      73,15.2, , ,     118,24.6,      13,2.7,1.0,23.3,2.1,65.6,0.2,0.0,7.7,56.3,43.8,     149,22.7,        478,26.8,100.0,     128,100.0,17.9,"     $29,231,455","  $80,750",    362.0,38.0,      35,  92.1,  11.4,  88.6,   0.0,   0.0,"          $72,610,771.00","           5,643.6","              $12,866.04","          $81,149,570.00","           5,789.7","              $14,016.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0
