School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,School Percentile (1-99)
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     116,     113,     118,     122,     119,     118,     127,     121,     115,      96,      86,      93,      81,       0,"   1,425",     868,60.9,     102,7.2,     147,10.3, , ,     730,51.2,     530,37.2,48.5,4.0,22.0,22.9,0.1,0.1,2.3,47.3,52.7,     707,18.9,"      1,425",106.6,95.3,     590,99.2,13.4,,,,     120,     120, 100.0,  11.7,  84.2,   4.2,   0.0,"          $17,867,690.22","           1,424.9","              $12,539.48","          $17,867,690.22","           1,424.9","              $12,539.48",        82,97.6,0.0,0.0,1.2,1.2,0.0,     356,4.0,1.1,80.0,69.0,86.3,0.0,20.0,17.5,48.8,17.5,20.0,20.0,68.8,80.0,80.0,100.0,,,,,,,,,,,,,,,119.0,539.0,517.0,         307,42.0,          23,3.0,         284,39.0,         362,50.0,          55,8.0,         724,496.2,55.0,         587,36.0,         255,35.0,          16,2.0,         239,33.0,         405,56.0,          64,9.0,         724,494.0,48.0,         587,29.0,
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,347,229","  $79,107",    131.0,,,,,,,,"          $25,908,215.00","           1,926.2","              $13,450.43","          $29,737,218.00","           2,040.5","              $14,573.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     124,     109,     123,      92,       4,     452,      24,5.3,      11,2.4,      44,9.7, , ,     130,28.8,      97,21.5,2.2,1.5,9.1,85.8,0.2,0.2,0.9,45.6,54.4,     245,14.9,        454,39.3,100.0,     192,100.0,11.5,"     $10,347,229","  $79,107",    131.0,      51,      51, 100.0,   9.8,  90.2,   0.0,   0.0,"          $25,908,215.00","           1,926.2","              $13,450.43","          $29,737,218.00","           2,040.5","              $14,573.50",        97,94.8,2.1,0.0,0.0,3.1,0.0,     448,3.0,0.7,94.0,82.0,87.2,0.0,22.3,26.6,38.3,25.5,22.3,9.6,60.599999999999994,94.0,45.0,47.9,      69,     128,30.0,21.0,16.0,2.0,0.0,11.0,45.0,46.0,22.0,4.0,43.8,56.3,139.0,538.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     159,     169,       0,       0,       0,       0,       0,     328,      18,5.5,       6,1.8,      43,13.1, , ,     101,30.8,      71,21.6,2.4,1.8,6.1,89.3,0.0,0.0,0.3,53.4,46.6,     224,20.2,        336,25.1,100.0,     131,92.4,13.1,"     $10,347,229","  $79,107",    131.0,      32,      31,  96.9,  12.9,  87.1,   0.0,   0.0,"          $25,908,215.00","           1,926.2","              $13,450.43","          $29,737,218.00","           2,040.5","              $14,573.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         155,48.0,          23,7.0,         132,41.0,         151,47.0,          15,5.0,         321,499.8,48.0,         315,50.0,         139,43.0,          24,7.0,         115,36.0,         170,53.0,          13,4.0,         322,499.2,58.0,         317,49.0,
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,347,229","  $79,107",    131.0,,,,,,,,"          $25,908,215.00","           1,926.2","              $13,450.43","          $29,737,218.00","           2,040.5","              $14,573.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,     180,     173,       0,       0,       0,       0,       0,       0,       0,     353,      21,5.9,       7,2.0,      38,10.8, , ,     108,30.6,      80,22.7,2.0,1.4,4.2,92.1,0.0,0.0,0.3,50.7,49.3,     143,28.0,        364,18.4,100.0,      98,100.0,19.2,"     $10,347,229","  $79,107",    131.0,      22,      20,  90.9,  35.0,  65.0,   0.0,   0.0,"          $25,908,215.00","           1,926.2","              $13,450.43","          $29,737,218.00","           2,040.5","              $14,573.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         209,61.0,          21,6.0,         188,55.0,         116,34.0,          16,5.0,         341,502.8,62.0,         325,64.0,         196,58.0,          22,6.0,         174,51.0,         130,38.0,          14,4.0,         340,503.0,66.0,         322,66.0,
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      79,      77,      81,      79,      64,      55,      43,      49,       0,     527,     130,24.7,      62,11.8,     128,24.3, , ,     307,58.3,     202,38.3,58.1,0.9,27.3,10.4,0.0,0.2,3.0,47.4,52.6,     123,22.8,        516,44.3,78.2,     115,90.4,11.9,,,,      59,      59, 100.0,  16.9,  66.1,  11.9,   5.1,"           $9,536,647.00",             520.2,"              $18,333.50","           $9,536,647.00",             520.2,"              $18,333.50",        47,93.6,2.1,0.0,2.1,2.1,0.0,     211,0.0,0.0,48.0,45.0,93.8,0.0,45.8,6.3,41.7,6.3,16.7,22.9,87.5,48.0,48.0,100.0,      50,      73,27.0,23.0,0.0,0.0,0.0,14.0,28.0,26.0,4.0,1.0,57.5,42.5,1.0,,,         110,35.0,          13,4.0,          97,31.0,         157,50.0,          44,14.0,         311,493.6,45.0,         289,26.0,          88,28.0,           4,1.0,          84,27.0,         186,60.0,          37,12.0,         311,490.6,38.0,         289,20.0,
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     448,     492,     456,     467,       1,"   1,864",     269,14.4,      17,0.9,     217,11.6, , ,     304,16.3,      91,4.9,1.5,28.2,3.4,63.0,0.2,0.0,3.7,50.6,49.4,     733,18.9,"      1,870",125.9,100.0,     535,100.0,14.8,"     $30,605,864","  $82,318",    372.0,     161,     156,  96.9,  14.1,  85.3,   0.0,   0.6,"          $78,051,554.00","           5,613.9","              $13,903.27","          $87,351,122.00","           5,747.5","              $15,198.11",       467,97.4,0.9,0.0,0.0,1.7,0.0,"   1,863",9.0,0.5,456.0,404.0,88.6,0.0,44.3,3.9,40.4,3.7,2.9,11.0,84.69999999999999,456.0,292.0,64.0,     433,     973,160.0,112.0,85.0,50.0,26.0,9.0,50.0,120.0,313.0,481.0,6.1,93.9,408.0,642.0,665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      60,      52,      53,      45,      63,      70,      70,       0,       0,       0,       0,       0,       0,       0,     413,      39,9.4,      13,3.1,      84,20.3, , ,     110,26.6,      24,5.8,1.7,33.2,3.1,58.6,0.5,0.0,2.9,51.8,48.2,     135,21.5,        413,27.5,100.0,     116,100.0,15.0,"     $30,605,864","  $82,318",    372.0,      36,      35,  97.2,   2.9,  97.1,   0.0,   0.0,"          $78,051,554.00","           5,613.9","              $13,903.27","          $87,351,122.00","           5,747.5","              $15,198.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         187,77.0,          39,16.0,         148,61.0,          50,20.0,           7,3.0,         244,511.8,66.0,         188,94.0,         185,76.0,          48,20.0,         137,56.0,          51,21.0,           8,3.0,         244,512.3,60.0,         188,93.0,
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      46,      59,      69,      72,      68,      68,      74,       0,       0,       0,       0,       0,       0,       0,     456,      99,21.7,      32,7.0,      75,16.4, , ,     133,29.2,      21,4.6,0.2,24.3,3.3,65.8,0.2,0.0,6.1,52.0,48.0,     142,22.9,        460,28.0,100.0,     122,100.0,16.3,"     $30,605,864","  $82,318",    372.0,      37,      37, 100.0,  13.5,  86.5,   0.0,   0.0,"          $78,051,554.00","           5,613.9","              $13,903.27","          $87,351,122.00","           5,747.5","              $15,198.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         190,68.0,          47,17.0,         143,51.0,          81,29.0,           8,3.0,         279,508.7,63.5,         202,86.0,         175,63.0,          39,14.0,         136,49.0,          89,32.0,          14,5.0,         278,507.2,64.0,         203,81.0,
