School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Overall Classification,Reason for Classification,Accountability Percentile (1-99),Overall Improvement Toward Improvement Targets (%)
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     117,     116,     113,     117,     122,     118,     115,     123,     120,     101,      88,      84,      91,       0,"   1,425",     913,64.1,     137,9.6,     171,12.0,     751,52.7,     568,39.9,49.8,4.1,22.3,20.8,0.1,0.1,2.8,46.5,53.5,     698,19.3,"      1,420",109.0,97.8,  13.1 to 1,81.1,83.7,,,,124.0,124.0,100.0,   7.3,  90.3,   2.4,   0.0,"          $20,082,710.55","           1,424.9","              $14,094.02","          $20,082,710.55","           1,424.9","              $14,094.02",        91,98.9,0.0,0.0,0.0,1.1,0.0,     364,1.0,0.3,90.0,79.0,87.8,0.0,24.1,19.0,57.0,19.0,31.6,16.5,90.0,90.0,100.0,,,,,,,,,,,,,,,119.0,536.0,526.0,         175,         140,80.0,         313,44.0,          31,4.0,         282,39.0,         347,48.0,          56,8.0,         716,497.3,48.7,         586,33.0,         266,37.0,          20,3.0,         246,34.0,         390,54.0,          61,9.0,         717,494.6,52.9,         587,33.0,Not requiring assistance or intervention,Partially meeting targets,75.0,59.0
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,      84,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      84,      10,11.9,       0,0.0,      32,38.1,      41,48.8,      17,20.2,10.7,4.8,1.2,83.3,0.0,0.0,0.0,53.6,46.4,      24,17.8,        107,3.0,100.0,  28.0 to 1,100.0,100.0,"     $10,610,746","  $85,917",    124.0,4.0,4.0,100.0,-,-,-,-,"          $27,401,268.06","           2,035.5","              $13,461.69","          $31,082,174.03","           2,139.6","              $14,527.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     153,     130,     111,     123,       3,     520,      37,7.1,      18,3.5,      51,9.8,     155,29.8,     108,20.8,3.3,1.9,9.8,83.5,0.4,0.2,1.0,47.9,52.1,     260,16.0,        519,38.7,100.0,  13.4 to 1,82.8,87.1,"     $10,610,746","  $85,917",    124.0,51.0,51.0,100.0,   9.8,  88.2,   2.0,   0.0,"          $27,401,268.06","           2,035.5","              $13,461.69","          $31,082,174.03","           2,139.6","              $14,527.10",       127,95.3,3.9,0.0,0.0,0.8,0.0,     517,6.0,1.2,121.0,85.0,70.2,0.0,31.8,15.3,52.9,15.3,21.2,9.4,121.0,72.0,59.5,      79,     146,36.0,21.0,20.0,2.0,0.0,13.0,32.0,55.0,34.0,12.0,30.8,69.2,138.0,550.0,536.0,         233,         189,81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,2018 National Blue Ribbon School - Gap Closing,68.0,38.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,     154,     188,     178,     167,       0,       0,       0,       0,       0,     687,      45,6.6,      17,2.5,      92,13.4,     236,34.4,     173,25.2,2.2,1.9,6.1,88.8,0.1,0.0,0.9,51.7,48.3,     373,23.2,        699,40.8,100.0,  16.8 to 1,71.3,92.9,"     $10,610,746","  $85,917",    124.0,52.0,52.0,100.0,  13.5,  86.5,   0.0,   0.0,"          $27,401,268.06","           2,035.5","              $13,461.69","          $31,082,174.03","           2,139.6","              $14,527.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         363,54.0,          52,8.0,         311,46.0,         259,38.0,          52,8.0,         674,501.6,50.4,         643,48.0,         323,48.0,          23,3.0,         300,45.0,         305,45.0,          45,7.0,         673,498.5,45.3,         644,47.0,Not requiring assistance or intervention,Partially meeting targets,39.0,62.0
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,       0,     137,     155,     132,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     424,      49,11.6,      34,8.0,      62,14.6,     153,36.1,      90,21.2,3.5,2.1,9.0,84.4,0.5,0.2,0.2,49.1,50.9,     273,20.8,        433,22.7,100.0,  18.7 to 1,86.8,100.0,"     $10,610,746","  $85,917",    124.0,29.0,29.0,100.0,   6.9,  89.7,   0.0,   3.4,"          $27,401,268.06","           2,035.5","              $13,461.69","          $31,082,174.03","           2,139.6","              $14,527.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,     168,     151,       0,       0,       0,       0,       0,       0,       0,       0,       0,     319,      41,12.9,      28,8.8,      37,11.6,     123,38.6,      89,27.9,2.5,1.6,8.8,86.2,0.3,0.0,0.6,53.6,46.4,     143,25.3,        329,18.4,100.0,  17.4 to 1,89.1,100.0,"     $10,610,746","  $85,917",    124.0,22.0,22.0,100.0,  18.2,  81.8,   0.0,   0.0,"          $27,401,268.06","           2,035.5","              $13,461.69","          $31,082,174.03","           2,139.6","              $14,527.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         181,59.0,          38,12.0,         143,47.0,         108,35.0,          18,6.0,         307,504.2,48.4,         139,60.0,         153,50.0,          22,7.0,         131,43.0,         124,41.0,          29,9.0,         306,499.3,56.0,         139,51.0,Not requiring assistance or intervention,Partially meeting targets,53.0,59.0
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      80,      76,      76,      81,      69,      56,      48,      38,       0,     524,     150,28.6,      63,12.0,     137,26.1,     333,63.5,     207,39.5,59.7,1.3,27.9,8.8,0.0,0.2,2.1,49.2,50.8,     167,20.9,        521,48.1,70.5,  10.9 to 1,39.7,79.7,,,,62.0,62.0,100.0,  11.3,  69.4,  19.4,   0.0,"          $10,228,767.00",             525.1,"              $19,478.91","          $10,228,767.00",             525.1,"              $19,478.91",        37,97.3,0.0,0.0,2.7,0.0,0.0,     211,0.0,0.0,37.0,33.0,89.2,0.0,48.5,0.0,51.5,0.0,24.2,27.3,37.0,37.0,100.0,      32,      57,15.0,9.0,8.0,0.0,0.0,24.0,21.0,10.0,2.0,0.0,78.9,21.1,2.0,,,          80,          68,85.0,         138,44.0,          15,5.0,         123,39.0,         151,48.0,          26,8.0,         315,497.3,57.7,         289,33.0,         103,33.0,          10,3.0,          93,30.0,         175,56.0,          37,12.0,         315,492.3,52.9,         289,26.0,Not requiring assistance or intervention,Partially meeting targets,57.0,62.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     427,     447,     501,     452,       0,"   1,827",     288,15.8,      14,0.8,     179,9.8,     271,14.8,      87,4.8,2.0,30.6,3.2,59.6,0.2,0.0,4.4,51.5,48.5,     725,18.4,"      1,831",123.8,100.0,  14.8 to 1,88.9,95.7,"     $31,536,769","  $84,822",    372.0,160.0,156.0,97.5,  15.4,  84.0,   0.6,   0.0,"          $81,006,084.03","           5,632.3","              $14,382.42","          $90,445,893.59","           5,761.7","              $15,697.78",       449,98.0,1.1,0.0,0.2,0.7,0.0,"   1,827",4.0,0.2,444.0,402.0,90.5,0.0,45.5,7.0,47.5,6.5,3.2,15.2,444.0,271.0,61.0,     518,"   1,156",195.0,134.0,104.0,53.0,32.0,6.0,48.0,153.0,372.0,577.0,4.7,95.3,419.0,656.0,684.0,         955,         637,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Meeting targets,94.0,87.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      78,      59,      62,      55,      50,      69,      74,       0,       0,       0,       0,       0,       0,       0,     447,      58,13.0,      18,4.0,      85,19.0,     126,28.2,      22,4.9,1.6,32.7,3.4,58.4,0.4,0.0,3.6,50.8,49.2,     149,21.5,        455,30.2,100.0,  14.8 to 1,83.4,100.0,"     $31,536,769","  $84,822",    372.0,38.0,38.0,100.0,   7.9,  92.1,   0.0,   0.0,"          $81,006,084.03","           5,632.3","              $14,382.42","          $90,445,893.59","           5,761.7","              $15,697.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         189,77.0,          81,33.0,         108,44.0,          47,19.0,           9,4.0,         245,519.6,70.9,         179,98.0,         176,72.0,          54,22.0,         122,50.0,          56,23.0,          13,5.0,         245,513.0,62.2,         180,94.0,Not requiring assistance or intervention,Meeting targets,97.0,87.0
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      38,      44,      64,      71,      73,      69,      68,       0,       0,       0,       0,       0,       0,       0,     427,      89,20.8,      26,6.1,      66,15.5,     115,26.9,      23,5.4,0.5,21.8,3.0,67.0,0.2,0.5,7.0,51.8,48.2,     135,22.8,        435,26.6,100.0,  16.1 to 1,94.0,100.0,"     $31,536,769","  $84,822",    372.0,34.0,33.0,97.1,  15.2,  84.8,   0.0,   0.0,"          $81,006,084.03","           5,632.3","              $14,382.42","          $90,445,893.59","           5,761.7","              $15,697.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         208,76.0,          47,17.0,         161,59.0,          61,22.0,           3,1.0,         272,512.9,63.5,         196,90.0,         185,69.0,          26,10.0,         159,59.0,          73,27.0,          12,4.0,         270,507.4,61.6,         197,81.0,Not requiring assistance or intervention,Meeting targets,91.0,75.0
