School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Overall Classification,Reason for Classification,Accountability Percentile (1-99),Cumulative Progress Toward Improvement Targets (%)
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     117,     114,     116,     118,     116,     118,     120,     114,     120,     109,      96,      87,      83,       0,"   1,428",     910,  63.7,     141,   9.9,     171,  12.0, , ,     803,  56.2,     538,  37.7,51.3,3.4,22.7,19.7,0.2,0.1,2.5,47.5,52.5,     707,19.0,"      1,421",116.4,94.5,12.3,76.4,87.1,85.1,,,,120.0,120.0,100.0,  12.5,  85.0,   1.7,   0.8,"          $21,896,724.82","           1,425.4","              $15,361.60","          $21,896,724.82","           1,425.4","              $15,361.60",        84,97.6,0.0,0.0,0.0,2.4,0.0,     375,1.0,0.3,82.0,72.0,87.8,0.0,28.0,12.2,47.6,12.2,20.7,23.2,75.6,82.0,82.0,100.0,,,,,,,,,,,,,,,106.0,536.0,524.0,         170,         129,75.9,         346,49.0,          37,5.0,         309,44.0,         303,43.0,          50,7.0,         699,499.4,51.4,         578,38.0,         282,40.0,          23,3.0,         259,37.0,         357,51.0,          60,9.0,         699,495.9,51.3,         579,35.0,Not requiring assistance or intervention,Substantial progress toward targets,75.0,68.0
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,      90,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      90,       9,  10.0,       2,   2.2,      34,  37.8, , ,      46,  51.1,      22,  24.4,10.0,1.1,10.0,78.9,0.0,0.0,0.0,50.0,50.0,      20,22.6,        113,4.0,100.0,22.5,100.0,100.0,100.0,"     $11,469,788","  $93,861",    122.2,6.0,6.0,100.0,  16.7,  66.7,  16.7,   0.0,"          $28,935,060.43","           2,064.7","              $14,014.17","          $32,687,048.06","           2,166.7","              $15,086.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     159,     149,     125,     107,       5,     545,      37,   6.8,      10,   1.8,      69,  12.7, , ,     161,  29.5,     105,  19.3,3.9,2.4,7.9,85.0,0.0,0.2,0.7,49.0,51.0,     267,16.5,        557,37.9,100.0,14.4,92.6,88.9,83.3,"     $11,469,788","  $93,861",    122.2,50.0,48.0,96.0,  18.8,  77.1,   4.2,   0.0,"          $28,935,060.43","           2,064.7","              $14,014.17","          $32,687,048.06","           2,166.7","              $15,086.10",       115,91.3,1.7,0.9,0.0,6.1,0.0,     540,3.0,0.6,104.0,89.0,85.6,0.0,32.7,21.2,31.7,20.2,12.5,7.7,64.4,104.0,103.0,99.0,      88,     137,64.0,6.0,12.0,5.0,1.0,11.0,53.0,37.0,23.0,13.0,46.7,53.3,148.0,528.0,525.0,         235,         186,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Moderate progress toward targets,53.0,29.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,     159,     154,     187,     172,       0,       0,       0,       0,       0,     672,      67,  10.0,      25,   3.7,      91,  13.5, , ,     243,  36.2,     164,  24.4,2.1,1.8,7.1,87.4,0.4,0.0,1.2,52.4,47.6,     366,23.2,        691,38.2,100.0,17.6,87.2,95.0,93.0,"     $11,469,788","  $93,861",    122.2,49.0,49.0,100.0,  14.3,  83.7,   2.0,   0.0,"          $28,935,060.43","           2,064.7","              $14,014.17","          $32,687,048.06","           2,166.7","              $15,086.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         351,54.0,          51,8.0,         300,46.0,         257,39.0,          46,7.0,         654,501.8,46.6,         634,47.0,         294,45.0,          29,4.0,         265,40.0,         308,47.0,          53,8.0,         655,497.4,44.2,         634,41.0,Not requiring assistance or intervention,Moderate progress toward targets,34.0,46.0
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,       0,     153,     142,     160,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     455,      68,  14.9,      44,   9.7,      65,  14.3, , ,     158,  34.7,      89,  19.6,4.8,2.4,7.3,84.0,1.1,0.0,0.4,50.5,49.5,     264,21.5,        462,25.7,100.0,17.7,84.5,96.1,100.0,"     $11,469,788","  $93,861",    122.2,33.0,33.0,100.0,   3.0,  93.9,   3.0,   0.0,"          $28,935,060.43","           2,064.7","              $14,014.17","          $32,687,048.06","           2,166.7","              $15,086.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,     129,     165,       0,       0,       0,       0,       0,       0,       0,       0,       0,     294,      33,  11.2,      21,   7.1,      48,  16.3, , ,     109,  37.1,      69,  23.5,2.7,3.1,7.1,85.4,0.0,0.3,1.4,50.3,49.7,     143,23.1,        300,16.4,100.0,18.0,87.8,93.9,95.0,"     $11,469,788","  $93,861",    122.2,22.0,22.0,100.0,  54.5,  40.9,   4.5,   0.0,"          $28,935,060.43","           2,064.7","              $14,014.17","          $32,687,048.06","           2,166.7","              $15,086.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         187,67.0,          31,11.0,         156,56.0,          83,30.0,          11,4.0,         281,508.5,57.0,         150,74.0,         168,60.0,          29,10.0,         139,50.0,          96,34.0,          15,5.0,         279,505.1,55.2,         148,70.0,Not requiring assistance or intervention,Substantial progress toward targets,66.0,73.0
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      72,      80,      75,      73,      71,      70,      47,      38,       0,     526,     157,  29.8,      62,  11.8,     125,  23.8, , ,     342,  65.0,     201,  38.2,60.5,1.1,27.0,8.9,0.0,0.2,2.3,50.8,49.2,     188,20.3,        535,49.2,76.8,10.7,32.9,77.6,48.1,,,,65.0,65.0,100.0,   3.1,  84.6,  12.3,   0.0,"          $10,728,860.94",             532.7,"              $20,141.29","          $10,728,860.94",             532.7,"              $20,141.29",        40,95.0,5.0,0.0,0.0,0.0,0.0,     226,1.0,0.4,38.0,33.0,86.8,0.0,34.2,7.9,44.7,7.9,15.8,23.7,78.9,38.0,38.0,100.0,      51,      85,26.0,17.0,7.0,1.0,0.0,28.0,26.0,19.0,7.0,5.0,63.5,36.5,1.0,,,          84,          70,83.3,         122,40.0,          16,5.0,         106,35.0,         159,52.0,          24,8.0,         305,496.5,54.8,         268,29.0,          99,32.0,          11,4.0,          88,29.0,         175,57.0,          31,10.0,         305,491.4,46.4,         266,21.0,Not requiring assistance or intervention,Substantial progress toward targets,47.0,50.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     460,     429,     445,     500,       3,"   1,837",     290,  15.8,      20,   1.1,     201,  10.9, , ,     327,  17.8,      97,   5.3,2.0,32.5,3.8,56.8,0.2,0.0,4.7,51.5,48.5,     718,18.1,"      1,832",124.8,100.0,14.7,90.1,93.8,93.4,"     $32,945,978","  $86,677",    380.1,167.0,165.0,98.8,  13.9,  85.5,   0.6,   0.0,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",       493,97.8,1.2,0.0,0.2,0.8,0.0,"   1,834",8.0,0.4,483.0,433.0,89.6,0.0,44.1,3.9,41.6,3.7,2.1,14.9,85.7,483.0,293.0,60.7,     492,"   1,199",153.0,129.0,99.0,76.0,35.0,8.0,36.0,139.0,345.0,671.0,3.7,96.3,343.0,648.0,677.0,         938,         641,68.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Meeting or exceeding targets,96.0,86.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      70,      86,      61,      68,      59,      52,      68,       0,       0,       0,       0,       0,       0,       0,     464,      78,  16.8,      24,   5.2,      80,  17.2, , ,     128,  27.6,      21,   4.5,1.3,31.5,5.0,58.6,0.4,0.0,3.2,48.1,51.9,     163,20.4,        470,32.4,100.0,14.3,83.3,93.8,100.0,"     $32,945,978","  $86,677",    380.1,43.0,43.0,100.0,   9.3,  88.4,   2.3,   0.0,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         177,74.0,          51,21.0,         126,53.0,          53,22.0,          10,4.0,         240,514.7,56.5,         165,91.0,         175,73.0,          57,24.0,         118,49.0,          52,22.0,          13,5.0,         240,513.8,63.1,         165,93.0,Not requiring assistance or intervention,Meeting or exceeding targets,97.0,86.0
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      41,      42,      43,      69,      69,      69,      72,       0,       0,       0,       0,       0,       0,       0,     405,      75,  18.5,      14,   3.5,      66,  16.3, , ,     120,  29.6,      31,   7.7,1.5,20.5,2.2,67.4,0.2,0.5,7.7,53.1,46.9,     127,22.7,        409,25.5,100.0,15.9,86.7,100.0,100.0,"     $32,945,978","  $86,677",    380.1,35.0,35.0,100.0,  11.4,  88.6,   0.0,   0.0,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         187,68.0,          31,11.0,         156,57.0,          74,27.0,          12,4.0,         273,508.3,52.2,         201,74.0,         155,57.0,          42,15.0,         113,41.0,          99,36.0,          19,7.0,         273,503.8,54.5,         200,67.0,Not requiring assistance or intervention,Substantial progress toward targets,80.0,54.0
