School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     114,     120,     119,     120,     116,     116,     120,     115,     106,     102,     104,      89,      84,       0,"   1,425",     925,64.9,     157,11.0,     175,12.3,     802,56.3,     552,38.7,52.4,3.5,20.8,19.6,0.4,0.1,3.2,46.2,53.8,0.0,     711,19.0,"      1,424",117.2,93.1,  12.2 to 1,74.5,88.2,86.1,"      $6,876,598","  $59,321",    115.9,     126,     126, 100.0,  11.1,  88.9,   0.0,   0.0,"          $21,885,215.62","           1,421.4","              $15,396.51","          $21,885,215.62","           1,421.4","              $15,396.51",87.0,95.4,1.1,0.0,0.0,3.4,0.0,     379,1.0,0.3,83.0,57.0,68.7,0.0,29.8,22.8,47.4,22.8,15.8,29.8,83.0,83.0,100.0,,,,,,,,,,,,,,,71.0,520.0,494.0,         171,         126,73.7
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,      88,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      88,       7,8.0,       4,4.5,      35,39.8,      45,51.1,      27,30.7,10.2,4.5,8.0,77.3,0.0,0.0,0.0,48.9,51.1,0.0,      20,20.0,        100,5.0,100.0,  17.6 to 1,80.0,100.0,100.0,"     $11,881,609","  $94,149",    126.2,       6,       6, 100.0,-,-,-,-,"          $29,446,070.52","           2,146.0","              $13,721.37","          $34,045,424.41","           2,253.2","              $15,109.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     160,     156,     154,     117,       6,     593,      59,9.9,      27,4.6,      70,11.8,     201,33.9,     138,23.3,4.7,2.9,9.1,82.0,0.0,0.0,1.3,49.4,50.6,0.0,     267,18.2,        600,39.1,100.0,  15.2 to 1,87.2,92.3,97.6,"     $11,881,609","  $94,149",    126.2,      51,      50,  98.0,-,-,-,-,"          $29,446,070.52","           2,146.0","              $13,721.37","          $34,045,424.41","           2,253.2","              $15,109.81",117.0,94.9,2.6,0.0,0.0,2.6,0.0,     587,6.0,1.0,114.0,91.0,79.8,0.0,29.7,17.6,51.6,17.6,16.5,17.6,114.0,114.0,100.0,      66,     109,34.0,22.0,9.0,1.0,0.0,11.0,29.0,48.0,15.0,6.0,36.7,63.3,66.0,533.0,539.0,         269,         215,79.9
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,     167,     172,     164,     187,       0,       0,       0,       0,       0,     690,      91,13.2,      41,5.9,      94,13.6,     263,38.1,     179,25.9,2.9,2.3,9.0,83.8,0.4,0.0,1.6,55.1,44.9,0.0,     359,24.1,        706,38.0,98.9,  18.2 to 1,83.2,94.7,86.7,"     $11,881,609","  $94,149",    126.2,      52,      52, 100.0,   1.9,  96.2,   1.9,   0.0,"          $29,446,070.52","           2,146.0","              $13,721.37","          $34,045,424.41","           2,253.2","              $15,109.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,       0,     169,     157,     145,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     471,      77,16.3,      52,11.0,      68,14.4,     171,36.3,     107,22.7,5.9,2.5,8.7,80.7,1.3,0.0,0.8,48.8,51.0,0.2,     245,24.0,        480,26.7,100.0,  17.6 to 1,83.5,100.0,100.0,"     $11,881,609","  $94,149",    126.2,      35,      35, 100.0,   0.0,  91.4,   8.6,   0.0,"          $29,446,070.52","           2,146.0","              $13,721.37","          $34,045,424.41","           2,253.2","              $15,109.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,     165,     136,       0,       0,       0,       0,       0,       0,       0,       0,       0,     301,      38,12.6,      20,6.6,      61,20.3,     128,42.5,      72,23.9,4.3,2.3,10.6,81.4,0.0,0.3,1.0,47.2,52.8,0.0,     143,23.7,        308,17.3,100.0,  17.4 to 1,79.8,85.6,100.0,"     $11,881,609","  $94,149",    126.2,      23,      23, 100.0,  39.1,  56.5,   4.3,   0.0,"          $29,446,070.52","           2,146.0","              $13,721.37","          $34,045,424.41","           2,253.2","              $15,109.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      66,      75,      74,      75,      70,      71,      56,      40,       0,     527,     171,32.4,      60,11.4,     133,25.2,     348,66.0,     218,41.4,60.3,1.1,28.7,8.3,0.0,0.0,1.5,50.7,49.3,0.0,     185,19.1,        539,46.8,70.1,  11.3 to 1,42.8,83.8,52.9,"      $3,295,016","  $68,505",     48.1,      67,      67, 100.0,   0.0,  97.0,   3.0,   0.0,"          $11,037,174.88",             536.1,"              $20,587.90","          $11,037,174.88",             536.1,"              $20,587.90",45.0,93.3,4.4,0.0,2.2,0.0,0.0,     237,0.0,0.0,44.0,24.0,54.5,0.0,25.0,33.3,41.7,33.3,25.0,16.7,44.0,44.0,100.0,      46,      67,28.0,15.0,3.0,0.0,0.0,34.0,14.0,15.0,2.0,2.0,71.6,28.4,,,,          89,          64,71.9
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     470,     463,     427,     449,       5,"   1,814",     317,17.5,      22,1.2,     198,10.9,     316,17.4,     102,5.6,2.6,33.4,4.4,54.9,0.2,0.0,4.5,51.5,48.5,0.1,     735,18.1,"      1,820",124.9,99.9,  14.5 to 1,89.5,95.2,91.9,"     $34,234,578","  $89,246",    383.6,     158,     152,  96.2,  13.2,  85.5,   1.3,   0.0,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",451.0,98.0,1.1,0.2,0.0,0.7,0.0,"   1,809",3.0,0.2,446.0,372.0,83.4,0.0,46.2,4.6,49.2,4.6,2.4,18.5,446.0,359.0,80.5,     455,"   1,115",143.0,116.0,97.0,57.0,42.0,11.0,35.0,152.0,330.0,587.0,4.1,95.9,176.0,657.0,688.0,         877,         599,68.3
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      52,      79,      87,      70,      67,      65,      52,       0,       0,       0,       0,       0,       0,       0,     472,      84,17.8,      32,6.8,      75,15.9,     131,27.8,      26,5.5,1.9,30.5,5.9,57.8,0.0,0.0,3.8,49.8,50.2,0.0,     163,20.8,        479,32.6,100.0,  14.5 to 1,93.9,96.9,100.0,"     $34,234,578","  $89,246",    383.6,      42,      37,  88.1,  10.8,  86.5,   2.7,   0.0,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      56,      42,      43,      45,      68,      69,      70,       0,       0,       0,       0,       0,       0,       0,     393,      83,21.1,      34,8.7,      44,11.2,     113,28.8,      34,8.7,2.3,19.3,4.6,65.4,0.3,0.3,7.9,51.4,48.6,0.0,     128,21.9,        395,24.9,100.0,  15.8 to 1,88.0,100.0,100.0,"     $34,234,578","  $89,246",    383.6,      34,      31,  91.2,  12.9,  87.1,   0.0,   0.0,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
