School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Part. Rate % ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Part. Rate % MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     117,     116,     120,     118,     117,     115,     117,     114,     111,      97,      99,      98,      86,       0,"   1,425",     952,  66.8,     195,  13.7,     173,  12.1, , ,     887,  62.2,     684,  48.0,54.1,3.4,19.4,17.3,0.6,0.0,5.1,45.7,54.3,0.0,     713,18.9,"      1,425",115.1,94.8,12.4,72.4,87.8,87.4,"      $7,586,419","  $66,422",    114.2,     129,     129, 100.0,   4.7,  95.3,   0.0,   0.0,"          $24,004,095.80","           1,424.3","              $16,853.85","          $24,004,095.80","           1,424.3","              $16,853.85",82.0,98.8,0.0,0.0,0.0,1.2,0.0,     380,0.0,0.0,82.0,64.0,78.0,0.0,22.0,8.5,47.6,8.5,20.7,20.7,69.6,82.0,82.0,100.0,,,,,,,,,,,,,,,12.0,593.0,528.0,         182,         131,72.0,         258,37.0,          22,3.0,         236,34.0,         324,47.0,         112,16.0,         694,99.0,492.0,32.0,         449,         109,16.0,           4,1.0,         105,15.0,         398,57.0,         187,27.0,         694,99.0,480.0,22.0,         449
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,      51,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      51,       2,   3.9,       1,   2.0,      26,  51.0, , ,      30,  58.8,      15,  29.4,7.8,2.0,3.9,86.3,0.0,0.0,0.0,54.9,45.1,0.0,      20,13.0,         65,5.0,100.0,10.2,80.0,100.0,100.0,"     $12,181,431","  $92,005",    132.4,       5,       5, 100.0,-,-,-,-,"          $31,632,120.91","           2,124.7","              $14,887.81","          $36,223,802.52","           2,243.9","              $16,143.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     146,     160,     153,     152,       8,     619,      70,  11.3,      34,   5.5,      65,  10.5, , ,     214,  34.6,     165,  26.7,5.0,2.9,10.5,80.6,0.0,0.0,1.0,52.7,47.3,0.0,     266,17.1,        591,39.8,100.0,15.5,90.0,97.5,95.3,"     $12,181,431","  $92,005",    132.4,      53,      53, 100.0,   7.5,  92.5,   0.0,   0.0,"          $31,632,120.91","           2,124.7","              $14,887.81","          $36,223,802.52","           2,243.9","              $16,143.23",162.0,93.8,1.9,0.0,0.6,3.7,0.0,     611,8.0,1.3,149.0,99.0,66.4,0.0,26.8,14.1,25.5,14.1,9.4,12.1,52.3,149.0,149.0,100.0,      69,     100,43.0,22.0,3.0,1.0,0.0,16.0,31.0,37.0,15.0,1.0,47.0,53.0,64.0,565.0,534.0,         307,         238,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,     140,     169,     161,     169,       0,       0,       0,       0,       0,     639,      96,  15.0,      37,   5.8,     100,  15.6, , ,     285,  44.6,     206,  32.2,3.8,2.5,11.0,79.7,0.5,0.2,2.5,49.9,50.1,0.0,     328,22.7,        651,40.8,99.0,15.7,82.6,96.3,88.6,"     $12,181,431","  $92,005",    132.4,      50,      50, 100.0,  12.0,  88.0,   0.0,   0.0,"          $31,632,120.91","           2,124.7","              $14,887.81","          $36,223,802.52","           2,243.9","              $16,143.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         304,52.0,          53,9.0,         251,43.0,         193,33.0,          87,15.0,         584,95.0,499.0,39.0,         545,         163,28.0,          13,2.0,         150,26.0,         319,55.0,          97,17.0,         579,94.0,489.0,25.0,         537
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,       0,     173,     168,     161,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     502,      82,  16.3,      64,  12.7,      71,  14.1, , ,     212,  42.2,     167,  33.3,5.2,2.6,12.4,75.5,1.0,0.0,3.4,48.4,51.4,0.2,     241,20.1,        525,27.7,100.0,18.1,87.7,100.0,100.0,"     $12,181,431","  $92,005",    132.4,      35,      33,  94.3,   9.1,  87.9,   0.0,   3.0,"          $31,632,120.91","           2,124.7","              $14,887.81","          $36,223,802.52","           2,243.9","              $16,143.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,     144,     162,       0,       0,       0,       0,       0,       0,       0,       0,       0,     306,      48,  15.7,      26,   8.5,      52,  17.0, , ,     120,  39.2,      75,  24.5,5.6,1.6,10.1,80.4,1.3,0.3,0.7,49.0,51.0,0.0,     134,21.6,        320,18.8,100.0,16.3,76.1,86.7,100.0,"     $12,181,431","  $92,005",    132.4,      23,      22,  95.7,  54.5,  36.4,   4.5,   4.5,"          $31,632,120.91","           2,124.7","              $14,887.81","          $36,223,802.52","           2,243.9","              $16,143.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         170,60.0,          32,11.0,         138,49.0,          87,31.0,          26,9.0,         283,96.0,504.0,,,         127,45.0,          23,8.0,         104,37.0,         121,43.0,          34,12.0,         282,95.0,496.0,,
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      53,      72,      73,      76,      82,      63,      63,      58,       0,     540,     173,  32.0,      34,   6.3,     138,  25.6, , ,     370,  68.5,     260,  48.1,62.8,0.7,28.3,6.7,0.0,0.2,1.3,51.5,48.5,0.0,     201,19.7,        538,55.0,57.3,9.8,40.9,89.1,58.9,"      $3,503,450","  $67,505",     51.9,      55,      55, 100.0,-,-,-,-,"          $11,434,614.36",             539.0,"              $21,216.47","          $11,434,614.36",             539.0,"              $21,216.47",59.0,93.2,6.8,0.0,0.0,0.0,0.0,     266,0.0,0.0,56.0,36.0,64.3,1.8,17.9,10.7,33.9,8.9,17.9,14.3,51.8,56.0,42.0,75.0,      74,     109,46.0,21.0,7.0,0.0,0.0,81.0,20.0,4.0,3.0,1.0,92.7,7.3,,,,         121,          93,76.9,          65,25.0,           4,2.0,          61,23.0,         120,46.0,          76,29.0,         261,96.0,483.0,31.0,         245,          26,10.0,           1,0.0,          25,9.0,         146,55.0,          92,35.0,         264,97.0,477.0,24.0,         249
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     406,     465,     450,     426,       4,"   1,751",     303,  17.3,      19,   1.1,     198,  11.3, , ,     330,  18.8,     134,   7.7,2.8,34.9,5.0,52.8,0.1,0.0,4.4,52.7,47.2,0.1,     782,15.8,"      1,755",131.1,100.0,13.4,88.7,93.3,96.5,"     $36,991,103","  $91,268",    405.3,     168,     164,  97.6,  12.8,  87.2,   0.0,   0.0,"          $91,293,991.80","           5,218.9","              $17,492.96","         $101,326,511.27","           5,344.9","              $18,957.61",427.0,98.8,0.5,0.0,0.0,0.7,0.0,"   1,747",4.0,0.2,425.0,372.0,87.5,0.0,40.5,2.4,44.7,2.1,1.6,14.6,85.2,425.0,366.0,86.1,     451,"   1,070",137.0,136.0,94.0,49.0,35.0,12.0,55.0,158.0,344.0,501.0,6.3,93.7,486.0,651.0,683.0,         878,         610,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      69,      55,      82,      79,      72,      64,      66,       0,       0,       0,       0,       0,       0,       0,     487,      99,  20.3,      42,   8.6,      72,  14.8, , ,     133,  27.3,      29,   6.0,2.7,29.8,7.2,55.2,0.0,0.0,5.1,51.3,48.7,0.0,     149,17.9,        376,29.1,100.0,16.7,88.0,98.3,100.0,"     $36,991,103","  $91,268",    405.3,      39,      39, 100.0,   7.7,  92.3,   0.0,   0.0,"          $91,293,991.80","           5,218.9","              $17,492.96","         $101,326,511.27","           5,344.9","              $18,957.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         200,76.0,          50,19.0,         150,57.0,          46,18.0,          16,6.0,         262,96.0,512.0,45.0,         110,         169,64.0,          41,16.0,         128,48.0,          77,29.0,          18,7.0,         264,96.0,507.0,44.0,         110
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      51,      56,      44,      43,      50,      66,      68,       0,       0,       0,       0,       0,       0,       0,     378,      72,  19.0,      29,   7.7,      42,  11.1, , ,     103,  27.2,      33,   8.7,2.9,15.6,6.1,66.9,0.0,0.3,8.2,53.2,46.6,0.3,     135,16.7,        319,26.3,100.0,14.4,77.2,96.2,100.0,"     $36,991,103","  $91,268",    405.3,      33,      31,  93.9,  16.1,  80.6,   3.2,   0.0,"          $91,293,991.80","           5,218.9","              $17,492.96","         $101,326,511.27","           5,344.9","              $18,957.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         128,60.0,          27,13.0,         101,47.0,          72,34.0,          13,6.0,         213,95.0,505.0,40.0,         120,         113,53.0,          19,9.0,          94,44.0,          85,40.0,          15,7.0,         213,95.0,501.0,44.0,         120
