School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Part. Rate % ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Part. Rate % MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Accountability Information,Accountability Percentile (1-99)
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     119,     118,     119,     119,     120,     124,     119,     112,     109,      91,      93,      90,      93,       0,"   1,426",     965,  67.7,     221,  15.5,     189,  13.3,"   1,101",  77.2, , ,54.6,3.0,20.5,16.0,0.5,0.1,5.3,46.1,53.9,0.0,     742,18.3,"      1,421",119.6,98.3,  11.9 to 1,74.1,86.6,90.6,94.0,96.8,0.0,0.0,0.0,3.2,0.0,     367,4.0,1.1,91.0,91.0,100.0,,,,,,,,,,,,,,,81.0,527.0,512.0,         182,         153,84.1,         240,34.0,          13,2.0,         227,33.0,         348,50.0,         110,16.0,         698,100.0,490.0,49.0,         569,35.0,         169,24.0,           4,1.0,         165,24.0,         389,56.0,         142,20.0,         700,100.0,486.0,50.0,         572,28.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",64.0
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,      76,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      76,       6,   7.9,       6,   7.9,      24,  31.6,      37,  48.7, , ,10.5,9.2,10.5,69.7,0.0,0.0,0.0,63.2,36.8,0.0,      16,23.2,         93,5.0,100.0,  15.2 to 1,80.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     133,     148,     145,     154,       6,     586,      79,  13.5,      37,   6.3,      74,  12.6,     257,  43.9, , ,4.9,2.9,11.8,79.2,0.0,0.0,1.2,52.6,47.1,0.3,     274,16.7,        587,40.7,100.0,  14.4 to 1,86.2,95.1,97.7,156.0,93.6,1.9,0.0,0.0,4.5,0.0,     580,13.0,2.2,149.0,94.0,63.1,      86,     149,46.0,22.0,13.0,5.0,0.0,15.0,38.0,50.0,33.0,      13,35.6,64.4,126.0,549.0,521.0,         294,         232,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",38.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,     169,     142,     171,     165,       0,       0,       0,       0,       0,     647,     113,  17.5,      55,   8.5,     113,  17.5,     334,  51.6, , ,4.8,2.3,13.0,77.3,0.8,0.2,1.7,50.1,49.9,0.0,     380,21.4,        667,44.9,96.9,  14.4 to 1,79.1,95.5,89.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         291,49.0,          38,6.0,         253,42.0,         238,40.0,          71,12.0,         600,98.0,497.0,50.0,         560,60.0,         225,37.0,          16,3.0,         209,35.0,         314,52.0,          66,11.0,         605,98.0,494.0,52.0,         561,52.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",37.0
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,       0,     174,     186,     171,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     531,      81,  15.3,      66,  12.4,      81,  15.3,     256,  48.2, , ,5.6,1.9,13.6,74.6,0.4,0.2,3.8,48.6,51.2,0.2,     207,23.5,        542,35.1,100.0,  15.1 to 1,79.8,97.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,     166,     148,       0,       0,       0,       0,       0,       0,       0,       0,       0,     314,      51,  16.2,      31,   9.9,      60,  19.1,     152,  48.4, , ,4.5,3.2,10.5,78.7,1.0,0.0,2.2,50.3,49.7,0.0,     117,24.7,        318,21.0,100.0,  15.0 to 1,73.8,95.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         156,52.0,          18,6.0,         138,46.0,         120,40.0,          23,8.0,         299,99.0,501.0,48.0,         130,71.0,         156,52.0,          20,7.0,         136,46.0,         112,38.0,          30,10.0,         298,99.0,502.0,31.0,         130,75.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",63.0
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      49,      64,      67,      71,      65,      75,      59,      60,       0,     510,     160,  31.4,      46,   9.0,     133,  26.1,     384,  75.3, , ,61.0,0.4,30.0,6.9,0.0,0.2,1.6,52.0,48.0,0.0,     202,17.3,        497,60.5,73.6,   8.4 to 1,33.9,85.1,50.7,56.0,98.2,0.0,0.0,0.0,1.8,0.0,     259,1.0,0.4,59.0,58.0,98.3,      70,     135,21.0,38.0,6.0,5.0,0.0,110.0,15.0,9.0,1.0,       0,92.6,7.4,2.0,,,         115,          98,85.2,          37,16.0,           1,0.0,          36,15.0,         126,54.0,          71,30.0,         234,98.0,480.0,39.0,         217,9.0,          16,7.0,           0,0.0,          16,7.0,         134,57.0,          84,36.0,         234,98.0,476.0,33.0,         216,8.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",23.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     385,     407,     456,     451,       4,"   1,703",     314,  18.4,      19,   1.1,     188,  11.0,     344,  20.2, , ,2.8,36.6,5.9,50.7,0.1,0.1,3.6,51.5,48.2,0.4,     742,17.0,"      1,713",128.3,100.0,  13.3 to 1,90.0,95.3,97.8,452.0,98.0,0.9,0.0,0.2,0.9,0.0,"   1,699",2.0,0.1,446.0,387.0,86.8,     470,"   1,134",140.0,125.0,111.0,64.0,30.0,19.0,52.0,145.0,337.0,     581,6.3,93.7,449.0,655.0,681.0,         906,         602,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",98.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      55,      74,      58,      85,      88,      69,      67,       0,       0,       0,       0,       0,       0,       0,     496,     104,  21.0,      44,   8.9,      67,  13.5,     141,  28.4, , ,2.4,28.8,9.3,53.8,0.0,0.0,5.6,50.2,49.8,0.0,     170,20.7,        496,38.0,100.0,  13.1 to 1,84.2,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         203,68.0,          36,12.0,         167,56.0,          73,25.0,          21,7.0,         297,100.0,506.0,53.0,         196,88.0,         206,69.0,          49,16.0,         157,53.0,          66,22.0,          25,8.0,         297,100.0,509.0,59.0,         197,90.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",90.0
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      57,      55,      59,      45,      46,      47,      73,       0,       0,       0,       0,       0,       0,       0,     382,      65,  17.0,      18,   4.7,      46,  12.0,     106,  27.7, , ,3.1,14.7,8.9,65.2,0.0,0.0,8.1,50.3,49.5,0.3,     128,21.3,        386,28.0,100.0,  13.6 to 1,82.1,96.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         118,59.0,          10,5.0,         108,54.0,          69,35.0,          12,6.0,         199,99.0,503.0,56.0,         137,79.0,         114,58.0,          25,13.0,          89,45.0,          72,36.0,          12,6.0,         198,98.0,504.0,62.0,         136,81.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",77.0
